,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
156,TharnType ,"Oct  7, 2019 - Jan  6, 2020",7.5,52679,"Type Thiwat, a handsome freshman passionate about soccer and spicy food, despises gay people due to childhood trauma. His life changes when he is forced to share a dorm with his charismatic and openly gay roommate, Tharn Kirigun, a compassionate music major. Type tries to get Tharn to leave, but Tharn refuses to give in. As they share a small space, will their relationship turn from hatred to love?

(Source: MyDramaList)

~~ Adapted from the novel ""TharnType's Story: Hate You, Love You More"" (TharnType Story เกลียดนักมาเป็นที่รักกันซะดีๆ) by MAME.  English 한국어 日本語 ภาษาไทย",Jungjing Wanna Kortunyavat,Tee Bundit Sintanaparadee,"Romance, Youth, Drama",Thailand,12,Drama,One 31,55 min.,#6647,#162,18+ Restricted (violence & profanity)
157,Alice in Borderland Season 2 ,"Dec 22, 2022",8.9,55140,"Arisu Ryohei and Usagi Yuzuha have been pursuing the mystery of “borderland”, risking their lives in games in order to survive and return to their world. The two of them encounter friends, foes and the mastermind who controls the game at a location believed to be the key to unravelling the mystery. They have collected the numbered cards each time they won a game. All that remains are the jack, queen and king cards. The games they face this round will be of greater difficulty than the ones that came before.

(Source: Jdramas Wordpress) 

~~ Adapted from the manga series ""Imawa no Kuni no Alice"" (今際の国のアリス) by Aso Haro (麻生羽呂).  English 한국어 中文(台灣) ภาษาไทย",Kuramitsu Yasuko,Sato Shinsuke,"Action, Thriller, Mystery, Psychological",Japan,8,Drama,Netflix,1 hr. 4 min.,#100,#163,18+ Restricted (violence & profanity)
158,The Devil Judge ,"Jul  3, 2021 - Aug 22, 2021",8.7,33002,"In a dystopian Korea where society has collapsed and distrust in leaders runs deep, Head Trial Judge Kang, known as the ""Devil Judge,"" runs a brutal courtroom reality show, punishing the guilty with ruthless precision. His mysterious persona divides public opinion—some view him as a hero, while others suspect his true intentions. A bitter rivalry ensues between the ""Devil Judge"" and the ambitious Jung Sun Ah, a corporate foundation director. Amidst this chaos, two childhood friends, rookie Judge Kim Ga On and Police Officer Yoon Soo Hyun, strive for true justice, challenging both the scheming Jung Sun Ah and the notorious Kang.

(Source: MyDramaList)  English 한국어 中文(简体) 日本語",Moon Yoo Seok,Choi Jung Gyu,"Mystery, Law, Crime, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#266,#164,15+ - Teens 15 or older
159,My Lovely Liar ,"Jul 31, 2023 - Sep 19, 2023",8.2,38604,"Mok Sol Hee is a young woman with the supernatural ability to hear people’s lies, leaving her disillusioned and distrustful of others. Her outlook changes when she meets Kim Do Ha, a music producer hiding next door after becoming embroiled in a murder case. As she discovers that her ability doesn't work on him, she becomes intrigued by the mysterious man. But will she uncover the secrets of his heart?

(Source: MyDramaList)  English ภาษาไทย Arabic עברית / עִבְרִית",Seo Jung Eun,"Noh Young Sub, Nam Sung Woo","Mystery, Comedy, Romance, Supernatural",South Korea,16,Drama,tvN,1 hr. 5 min.,#1751,#165,15+ - Teens 15 or older
160,Youth of May ,"May  3, 2021 - Jun  8, 2021",8.7,31247,"Hee Tae, a top student at Seoul National University College of Medicine, becomes a local hero in Gwangju. His best friend Kyung Soo, a pro-democracy activist, persuades him to open an illegal clinic for students in hiding from the government. After a factory worker is injured during a protest, Hee Tae agrees to a meeting with a potential marriage partner arranged by his father, in exchange for help transporting himself and the worker. At the meeting, Hee Tae meets Myung Hee, a nurse struggling to afford her studies abroad. Despite their different backgrounds, they fall in love. In May 1980, amidst the Gwangju Uprising, their fates intertwine.

(Source: MyDramaList)

~~ Based on real events of the Gwangju Uprising that happened in the city of Gwangju, South Korea, from May 18 to May 27, 1980.  English 한국어 日本語 Arabic",Lee Kang,"Song Min Yeop, Lee Dae Kyung","Romance, Youth, Drama, Melodrama",South Korea,12,Drama,KBS2,1 hr. 10 min.,#234,#166,15+ - Teens 15 or older
161,Introverted Boss ,"Jan 16, 2017 - Mar 14, 2017",7.7,36067,"When a young, energetic employee joins a public relations firm with an introverted and severely misunderstood boss, she makes it her life’s mission to show the world who he really is.

Chae Ro Un has one simple goal in life: to expose the big boss man, Eun Hwan Ki, for who he really is and take her revenge. She blames him for her family's downfall. 

(Source: DramaFever)  English 한국어 Arabic Русский",Joo Hwa Mi,Song Hyun Wook,"Business, Comedy, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 10 min.,#4336,#167,15+ - Teens 15 or older
162,Until We Meet Again ,"Nov  9, 2019 - Mar  1, 2020",8.1,45391,"Thirty years ago, Korn and Intouch were university students in Bangkok. Intouch entered Korn's life despite knowing that he was the son of one of the most influential crime bosses in Bangkok. At first, Korn pushed Intouch away, but in the end, he couldn't resist the boy who was so full of life, his exact opposite. 

However, their love was star-crossed in a time when homosexuality was unacceptable. Amidst mounting chaos in their lives, Intouch kept fighting for their future, but Korn could not deal with all the suffering and decided to give up. That day, the sounds of two gunshots rang through the air. Though their story ended in tragedy, something had tied itself between them and kept them bound even beyond death.

Years later, nineteen-year-old Pharm returns to Thailand as a freshman at T- University. Riddled with sad dreams that wake him with a wet face, plagued with a fear of loud noises, and bearing a birthmark on his temple, the boy has always had a sense that he was missing someone. Twenty-one-year-old Dean is a third-year student and the swimming club's president at T- University. He, too, has spent his life searching for someone whose face he can not remember.

The red thread of fate that had tied them together in their past life pulls the two boys together once again, tying them to each other and to a past that might not be worth remembering. The red thread that binds their two hearts together will always lead one back to the other; it may tangle and stretch, but it will never break.

(Source: Soju at MyDramaList || Edited by MyDramaList)

~~ Adapted from the novel ""The Red Thread"" (ด้ายแดง) by LazySheep.  English ภาษาไทย Русский Polski",New Siwaj Sawatmaneekul,New Siwaj Sawatmaneekul,"Food, Romance, Youth, Drama",Thailand,17,Drama,LINE TV,45 min.,#1969,#168,15+ - Teens 15 or older
163,Crash Course in Romance ,"Jan 14, 2023 - Mar  5, 2023",8.3,44825,"After retiring from her career as a national athlete, Nam Haeng Sun now owns a humble side dish store. Her cheerful personality and boundless energy catch the attention of Choi Chi Yeol, a popular and hardworking private instructor known as the ""Trillion Won Man"". Despite his reputation, Choi Chi Yeol has become increasingly aloof and irritable due to his growing success.

However, their relationship is not without challenges. As they navigate the ups and downs of their personal and professional lives, they must learn to confront their own shortcomings and trust in each other's strengths. Will their love be enough to overcome the obstacles in their path?

(Source: CK Warrior at MyDramaList; edited by MyDramaList)  English 中文(台灣) ภาษาไทย Українська",Yang Hee Seung,Yoo Je Won,"Thriller, Mystery, Comedy, Romance",South Korea,16,Drama,tvN,1 hr. 15 min.,#1054,#169,15+ - Teens 15 or older
164,Little Women ,"Sep  3, 2022 - Oct  9, 2022",8.4,39613,"Three sisters, bound by a close relationship and raised in poverty, get caught up in a major incident that pits them against the wealthiest family in the nation.

The eldest, Oh In Joo, dreams of protecting her family with wealth. A life-changing event shakes her to her core.

The second sister, Oh In Kyung, a news reporter, is determined to stand by what's right, even as an old case from her past resurfaces, pushing her to uncover the truth.

The youngest, Oh In Hye, is grateful for her sisters' sacrifices and, despite financial struggles, uses her natural talent to enter an art high school.

(Source: MyDramaList)

~~ Adapted loosely from the novel ""Little Women"" by Louisa May Alcott.  English 中文(台灣) ภาษาไทย Arabic",Jung Seo Kyung,Kim Hee Won,"Action, Thriller, Mystery, Drama",South Korea,12,Drama,tvN,1 hr. 15 min.,#670,#170,15+ - Teens 15 or older
165,A Love So Beautiful ,"Nov  9, 2017 - Dec  7, 2017",8.2,40949,"It starts off with high school classmates Chen Xiao Xi and Jiang Chen who are also neighbors. Xiao Xi, a cheerful girl who doesn't study much, is expressive about her admiration towards Jiang Chen, the popular guy known for his looks and high grades. Together with their fellow classmates the funny Lu Yang, athletic but loyal Jing Xiao, and cool swimming team member Wu Bo Song, they embark on high school life to university until their adult life.

(Source: MyDramaList)

~~ Adapted from the web novel ""A Love So Beautiful"" (致我们单纯的小美好) by Zhao Qian Qian (赵乾乾).  English 中文(简体) Arabic Русский","Wu Tong, Wang Yan Bei, Wu Xue Ying, Hu Xiao Yu, Zhou Chu Cen, Duan Yu Le, Yu Ku",Yang Long,"Comedy, Romance, Life, Youth",China,23,Drama,Tencent Video,45 min.,#1335,#171,13+ - Teens 13 or older
166,The Smile Has Left Your Eyes ,"Oct  3, 2018 - Nov 22, 2018",8.2,27149,"A TV series centered around the unfolding relationship between free and unpredictable yet dangerous Kim Mu Yeong, who is called a ""monster"". He is the first assistant in a Korean beer brewery who becomes a suspect when a woman's suicide turns out to be murder. His life begins to change when he meets a kind, warm advertising designer named Yoo Jin Gang, who wishes to be Mu Yeong's safe haven. She bears as many emotional scars as him. Yoo Jin Gang also has a brother, a homicide detective named Yoo Jin Guk, with 27 years of job experience. He strives to ""reveal"" who Mu Yeong really is and attempts to keep his sister, Jin Gang, away from Mu Yeong, with whom she begins to know. 

(Source: AJ at MyDramaList)  English 한국어 Arabic Русский",Song Hye Jin,Yoo Je Won,"Thriller, Mystery, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 4 min.,#1457,#172,15+ - Teens 15 or older
167,The Tale of Nokdu ,"Sep 30, 2019 - Nov 25, 2019",8.3,31437,"Jeon Nok Du lives on an island with his father and older brother. He is smart and a good swordsman. Since he was little, his father did not let him study or go to the mainland. One day, his father and older brother are attacked by a group of female assassins. Jeon Nok Du chases after one of the assassins to the capital. During that time, Jeon Nok Du meets Dong Dong Ju. She wants to shoot the King with her arrow, but Jeon Nok Du saves her from trouble. Meanwhile, the assassin that Jeon Nok Du chases goes into a widowed village. To find out who and why his family was attacked, Jeon Nok Du disguises himself as a woman and enters the widow's village. There, he meets Dong Dong Ju again. She is an apprentice to become a gisaeng. 

(Source: AsianWiki)

~~ Adapted from the webtoon ""Nok Du Jeon"" (녹두전) by Hye Jin Yang (혜진양).  English 한국어 ภาษาไทย Arabic","Baek So Yeon, Im Ye Jin","Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon","Action, Historical, Comedy, Romance",South Korea,32,Drama,KBS2,33 min.,#1250,#173,15+ - Teens 15 or older
168,Personal Taste ,"Mar 31, 2010 - May 20, 2010",7.7,43899,"Jeon Jin Ho is a straight guy who is mistaken as gay when he applies to become Park Gae In's roommate. His hobbies include organization and ironing, and he's known for his stoic poker face. He's a stickler for cleanliness, but he also has a talent for figuring out a woman's feelings. Gae In is very trusting even though she has a habit of being betrayed. However, that doesn't stop her from giving people the benefit of the doubt, and Jin Ho is no different. How will Gae In react when she finds out that her gay roommate is not actually gay at all and that he has fallen for her?

~~ Adapted from the novel ""Personal Taste"" by Lee Se In.  English 中文(简体) Українська Русский",N/A,"Song Hyung Suk, Noh Jong Chan","Comedy, Romance",South Korea,16,Drama,MBC,1 hr. 5 min.,#4710,#174,15+ - Teens 15 or older
169,Clean with Passion for Now ,"Nov 26, 2018 - Feb  4, 2019",7.6,38549,"Jang Sun Gyeol has wealth and good looks but suffers from severe mysophobia. He is obsessed with cleaning and even owns a cleaning company. However, he meets a carefree and untidy girl named Gil Oh Sol after she enters his company as a new employee.
Oh Sol has worked all sorts of part-time jobs while striving for a full-time job and does not have the luxury to date or be clean. She gave up on being neat after facing the tough reality of the world and is known for always wearing her trademark tracksuit. But she has a bright personality and does not mind getting dirty. With the help of Oh Sol, Sun Gyeol faces his mysophobia and also falls in love with her.

(Source: JTBC)

~~ Adapted from the webtoon ""Clean with Passion for Now?!"" (일단 뜨겁게 청소하라?!) by Aengo (앵고).  English Arabic Русский Română",Han Hui Jeong,Noh Jong Chan,"Business, Comedy, Romance, Drama",South Korea,16,Drama,jTBC,1 hr. 10 min.,#5280,#175,15+ - Teens 15 or older
170,Go Ahead ,"Aug 10, 2020 - Sep  6, 2020",8.9,35303,"Three troubled youths, each from a dysfunctional household, find comfort in each other and form a chosen family. Eldest brother Ling Xiao, second brother He Zi Qiu, and youngest sister Li Jian Jian grow up together, supporting one another through life's highs and lows. After high school, Ling Xiao and He Zi Qiu return to their biological families. Nine years later, the three reunite, but unresolved pasts continue to haunt them. Can they confront their personal struggles and become better versions of themselves, or will their histories define them forever?

(Source: MyDramaList)

~~ Two versions available: 46 episodes (TV version) || 40 episodes (online version).  English 中文(简体) 中文(台灣) ภาษาไทย",Wang Xiong Cheng,Ding Zi Guang,"Comedy, Romance, Drama, Melodrama",China,46,Drama,Hunan TV iQiyi Mango TV,45 min.,#122,#176,G - All Ages
171,100 Days My Prince ,"Sep 10, 2018 - Oct 30, 2018",8.3,38213,"Yi Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28.

Hong Sim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Yi Yul is severely injured and finds himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner.

Due to the law, he himself passed, Hong Sim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Yi Yul proposes to Hong Sim that they ought to marry.

Can their budding romance withstand Yi Yul’s eventual recovery with his memory fully intact?

(Source: AJ and Lee C at MyDramaList)  English 한국어 日本語 ภาษาไทย",Noh Ji Sul,"Lee Jong Jae, Nam Sung Woo","Historical, Comedy, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#1174,#177,15+ - Teens 15 or older
172,Record of Youth ,"Sep  7, 2020 - Oct 27, 2020",7.5,36027,"In a world where dreams are a luxury, this drama follows the journey of young people chasing their dreams and love against the odds. Sa Hye Joon, a handsome and popular model, aspires to become an actor but struggles with auditions. Ahn Jung Ha, a cheerful but lonely makeup artist, finds solace in fan-girling over idols while dealing with her own frustrations. Their paths cross as they pursue their passions, offering moments of excitement and empathy.

(Source: MyDramaList)  English 中文(台灣) Arabic Русский",Ha Myung Hee,Ahn Gil Ho,"Romance, Life, Youth, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#6330,#178,15+ - Teens 15 or older
173,Search: WWW ,"Jun  5, 2019 - Jul 25, 2019",8.3,30905,"This drama delves into the challenges and triumphs of modern women who have chosen career over traditional family roles. Bae Ta Mi, a competitive director at a major web portal company in her late 30s, questions the sacrifices she's made for her success. Meanwhile, Park Mo Gun, a talented composer in his 20s, encounters Ta Mi at an arcade and falls for her due to her fierce competitiveness, sparking a unique connection between them.

(Source: MyDramaList)  English 中文(简体) ภาษาไทย Arabic",Kwon Do Eun,"Jung Ji Hyun, Kwon Young Il","Business, Comedy, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 10 min.,#1320,#179,15+ - Teens 15 or older
174,Revenge of Others ,"Nov  9, 2022 - Dec 14, 2022",8.5,40012,"A boy falls to his death at school, but Ok Chan Mi does not believe that her twin brother, Park Won Seok, committed suicide. She then transfers to her brother's school, Yongtan High, and meets Ji Soo Heon, who witnessed her brother's death. During that time a ""hero,"" who avenges bullied students, appears at Yongtan High. Chan Mi speculates that it may be connected to her brother and starts looking for this hero.

(Source: Hulu)  English ภาษาไทย Русский Українська",Lee Hee Myung,Kim Yu Jin,"Action, Thriller, Mystery, Drama",South Korea,12,Drama,Disney+,1 hr. 2 min.,#561,#180,18+ Restricted (violence & profanity)
175,The Secret Life of My Secretary ,"May  6, 2019 - Jun 25, 2019",8,36331,"Do Min Ik is an intelligent, perfectionist man with a heart of stone and the Chief of Team 1 at T&T Mobile Media who always relies on his secretary, the hot-tempered Jung Gal Hee. Although she diligently carries out the tasks her mean boss instructs her to do, she does not hold back in saying what she wishes to say. Will an office romance blossom?

(Source: AJ at MyDramaList)  English ภาษาไทย Arabic Русский",Kim A Yeong,Lee Gwang Young,"Business, Comedy, Romance, Drama",South Korea,32,Drama,SBS,35 min.,#2579,#181,15+ - Teens 15 or older
176,Family by Choice ,"Oct  9, 2024 - Nov 27, 2024",8.7,38503,"It follows Kim San Ha, Yun Ju Won, and Kang Hae Jun, three young individuals brought together under one unconventional household, where love and care mean more than blood. As they grow up sharing laughter, struggles, and dreams, their bond is tested by the secrets and choices that shape their lives: scars from the past, uncertainty of the future and unexpected romantic feelings in the present are just a fraction of the obstacles they must face. A heartfelt story about belonging, identity, and what it truly means to be family.

(Source: MyDramaList)  English 한국어 ภาษาไทย Arabic",Hong Si Yeong,Kim Seung Ho,"Comedy, Romance, Youth, Family",South Korea,16,Drama,jTBC,1 hr. 10 min.,#286,#182,15+ - Teens 15 or older
177,Love to Hate You ,"Feb 10, 2023",8.4,48303,"Yeo Mi Ran works as a novice lawyer at Gilmu Law Firm, a company that primarily serves the entertainment industry. She has no interest in pursuing a romantic relationship and detests losing to men in any competition.

Nam Gang Ho, a renowned actor in the entertainment industry, is widely popular in South Korea owing to his good looks, intellect, and benevolent nature. While he is in high demand for romantic movie roles, he doesn't have much faith in women.

Despite their shared disbelief in love, Yeo Mi Ran and Nam Gang Ho find themselves engaged in a romantic battle.

(Source: MyDramaList)  English 한국어 中文(台灣) Arabic",Choi Su Yeong,Kim Jung Kwon,"Comedy, Law, Romance",South Korea,10,Drama,Netflix,52 min.,#743,#183,15+ - Teens 15 or older
178,The Sound of Magic ,"May  6, 2022",8.2,39694,"Yun A I, a high school student supporting herself and her younger sister through part-time jobs, ranks near the top of her class despite her difficult circumstances. After her father was driven away by debt collectors and her mother fled, Yun A I longs for a stable adult life. She competes with classmate Na Il Deung for the top grade, and they begin developing feelings for each other. One day, she meets the mysterious magician Lee Eul at an abandoned amusement park, where he performs for those who believe in magic and comforts her with his words.

(Source: MyDramaList)

~~ Adapted from the webtoon ""Annarasumanara” (안나라수마나라) by Ha Il Kwon (하일권).  English 中文(简体) 中文(台灣) Arabic",Kim Min Jeong,Kim Seong Yoon,"Music, Psychological, Drama, Fantasy",South Korea,6,Drama,Netflix,1 hr. 10 min.,#1730,#184,15+ - Teens 15 or older
179,The Judge from Hell ,"Sep 21, 2024 - Nov  2, 2024",8.6,37654,"Kang Bit Na is an elite judge with a beautiful appearance, but she is a demon. Her mission as a demon is to kill evil people who lead other people to their deaths and don't reflect on their actions. She sends these people to Hell afterwards. One day, Kang Bit Na meets Han Da On. He has a friendly and gentle personality. As a detective, his mind is sharp and he has a keen sense of observation. But he carries a pain inside that nobody knows about. After Kang Bit Na and Han Da On meet each other, their lives change greatly.

(Source: AsianWiki; edited by MyDramaList)  English 한국어 ภาษาไทย Arabic",Cho I Su,Park Jin Pyo,"Thriller, Mystery, Romance, Fantasy",South Korea,14,Drama,SBS,1 hr. 10 min.,#321,#185,15+ - Teens 15 or older
180,Lawless Lawyer ,"May 12, 2018 - Jul  1, 2018",8.2,32894,"Bong Sang Pil, a former gangster turned lawyer, seeks vengeance for his mother's death by targeting corrupt individuals who believe they're above the law. With his past skills, he combines legal loopholes and physical tactics to win cases. Ha Jae Yi, a principled lawyer whose license is suspended for assaulting a judge, joins Sang Pil to pay off her father's debts. Together, they take on a dangerous case involving powerful figures: Cha Moon Sook, a senior judge, and Ahn Oh Joo, a former gangster-turned-CEO. Can they defeat the city's most powerful players in this high-stakes battle?

(Source: MyDramaList)  English 한국어 Arabic Русский",Yoon Hyun Ho,Kim Jin Min,"Action, Thriller, Law, Romance",South Korea,16,Drama,tvN,1 hr. 6 min.,#1380,#186,15+ - Teens 15 or older
181,Beyond Evil ,"Feb 19, 2021 - Apr 10, 2021",8.7,32169,"Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the Manyang Police Substation. Just as he is beginning to settle into a peaceful life, his new superior, Detective Han Joo Won, is transferred in. Joo Won is an elite detective whose father is the star candidate for the National Police Agency’s next chief. Despite his admirable qualities and high social standing, Joo Won harbors a long-held secret.

When a string of gruesome killings occurs, a pattern takes shape that is oddly reminiscent of some cold serial-murder cases from 20 years prior. Dong Sik and Joo Won team up, vowing to stop this vicious culprit in his tracks. As their investigation proceeds, they are forced to look far deeper than what the evidence suggests, questioning the culpability of all those surrounding the case, including their own.

(Source: Kdramapal)  English 한국어 日本語 Arabic",Kim Soo Jin,Shim Na Yeon,"Thriller, Mystery, Psychological, Drama",South Korea,16,Drama,jTBC,1 hr. 5 min.,#244,#187,18+ Restricted (violence & profanity)
182,Perfect Marriage Revenge ,"Oct 28, 2023 - Dec  3, 2023",8.5,43021,"Han I Ju, a painter adopted by Han Jin Ung and Lee Jeong Hye, has always been neglected by her family, including her younger sister, Han Yu Ra. Married to Yoo Se Hyeok, I Ju discovers he loves her sister instead. After a car accident, she wakes up in the past, before her engagement to Yoo Se Hyeok. Determined to change her fate, she breaks off the engagement and proposes a contract marriage to Seo Do Guk, the handsome grandson of the Taeja Group’s founder. He agrees, but hopes for it to become a real marriage.

(Source: MyDramaList)

~~ Adapted from the webtoon ""The Essence of a Perfect Marriage"" (완벽한 결혼의 정석) written by Young (영) and Lee Beom Bae (이범배), and illustrated by Je Ri Bol (제리볼).  English Русский Español Türkçe",Im Seo Ra,O Sang Won,"Business, Romance, Drama, Fantasy",South Korea,12,Drama,MBN,1 hr. 4 min.,#587,#188,15+ - Teens 15 or older
183,When the Camellia Blooms ,"Sep 18, 2019 - Nov 21, 2019",8.4,31387,"Dong Baek is a single mother living in the small town of Ongsan. She runs the bar-restaurant Camellia, while also taking care of her son Pil Gu. The people of Ongsan frequently gossip about Dong Baek. She grew up as an orphan, is a single mother and runs a bar where many of the men in Ongsan frequent. Regardless of what the locals may whisper about Dong Baek, local police officer Hwang Yong Shik is deeply in love with her. Meanwhile, Dong Baek's ex-boyfriend Kang Jong Ryeol suddenly reappears in her life. He is a famous baseball player, that hid their relationship when they dated. While Dong Baek tries to find happiness, something truly sinister lurks in the background. A serial killer roams Ongsan and Dong Baek may be a target.

(Source: AsianWiki)

~~ Two versions available: 40 episodes (TV) || 20 episodes (online)  English 한국어 中文(台灣) Arabic",Im Sang Choon,"Kang Min Kyung, Cha Young Hoon","Thriller, Comedy, Romance, Drama",South Korea,40,Drama,KBS2,35 min.,#934,#189,15+ - Teens 15 or older
184,A Time Called You ,"Sep  8, 2023",8.4,36249,"Han Jun Hee's boyfriend Koo Yeon Jun died one year ago. She still hasn't gotten over his death and misses him a lot. One day, she somehow travels back in time to the year 1998 and finds herself as high school student Kwon Min Joo. There, she meets high school student Nam Si Heon. She is surprised to see how much Nam Si Heon resembles her late boyfriend Koo Yeon Jun. 

Nam Si Heon is outgoing and attractive; girls adore him. His best friend Jung In Kyu develops a crush on Kwon Min Joo. 

(Source: AsianWiki; edited by MyDramaList)  English Arabic Українська Русский",Choi Hyo Bi,Kim Jin Won,"Thriller, Mystery, Romance, Fantasy",South Korea,12,Drama,Netflix,60 min.,#897,#190,15+ - Teens 15 or older
185,Lovestruck in the City ,"Dec 22, 2020 - Feb 16, 2021",7.9,33437,"Park Jae Won, a passionate architect, struggles to move on from a mysterious woman who stole his heart and camera. Lee Eun Oh, an ordinary woman, reinvents herself as Yun Seon Ah, a free spirit, and catches Jae Won's attention with her new persona. Both seek love and happiness amidst the challenges of a bustling city.

(Source: MyDramaList)  English 한국어 中文(台灣) 日本語",Jung Hyun Jung,Park Shin Woo,"Romance, Life, Youth, Drama",South Korea,17,Drama,Daum Kakao TV,33 min.,#3174,#191,15+ - Teens 15 or older
186,Dr. Romantic Season 2 ,"Jan  6, 2020 - Feb 25, 2020",8.7,40364,"At Doldam Hospital, a small, humble medical facility, Kim Sa Bu, a once-renowned surgeon, finds a new purpose as its chief. After a successful operation on Chairman Sin, he gains support to improve the hospital. However, following Chairman Sin’s death and the return of an old rival, Kim Sa Bu faces new challenges, including an injury resurfacing. To address Doldam’s staff shortage, he recruits two new surgeons, Seo U Jin, who is driven by money, and Cha Eun Jae, who struggles with surgery. Can Kim Sa Bu manage the hospital with these two unlikely candidates?

(Source: MyDramaList)  English 中文(简体) ภาษาไทย Русский",Kang Eun Kyung,"Yoo In Shik, Lee Gil Bok","Romance, Drama, Medical, Melodrama",South Korea,16,Drama,SBS,1 hr. 10 min.,#203,#192,15+ - Teens 15 or older
187,Love in the Air ,"Aug 18, 2022 - Nov 10, 2022",N/A,N/A,"When clouds in the sky and falling rain tease the two close friends in trouble, Rain and Sky, it takes them to meet Payu and Prapai, who are not only cunning saviours but also guys making storms in the two best friends' hearts. The war of love is about to take place in the warm spring, hot summer, lonely autumn and cold winter. 

How would the atmosphere of love be? Which way would their hearts wave and the air full of love take them to? 

(Source: memindyofficial on Instagram)

~~ Adapted from the novels “Love Storm” (พายุรักโถมใจ) and “Love Sky” (พระพายหมายฟ้า) by MAME.  English Русский magyar / magyar nyelv dansk",N/A,Ne Neti Suwanjinda,"Comedy, Romance, Life, Drama",Thailand,13,Drama,GMM 25,51 min.,#2270,#193,18+ Restricted (violence & profanity)
188,My Girlfriend Is a Gumiho ,"Aug 11, 2010 - Sep 30, 2010",8,36947,"Cha Dae Woong is a carefree university student who dreams of becoming a famous actor. He is an orphan whose wealthy grandfather Cha Poong and single aunt Cha Min Sook take care of him. However, Dae Woong and his grandfather always bicker because of Dae Woong's careless spending and career choice.

One day, Dae Woong visits a temple and accidentally sets free a Gumiho, nine-tailed fox, who was trapped in a painting for 500 years. While running away in fright, Dae Woong severely injures himself, but the Gumiho, who took the form of a beautiful woman, saves him. In exchange, the Gumiho then asks him to help her become human and teach her how to act like one. As time goes by, their mutual relationship grows deeper as they start to fall for each other.

(Source: MyDramaList)  English 中文(简体) Arabic Português (Brasil)","Hong Jeong Eun, Hong Mi Ran",Boo Sung Chul,"Comedy, Romance, Drama, Supernatural",South Korea,16,Drama,SBS,1 hr. 10 min.,#2327,#194,15+ - Teens 15 or older
189,Not Me ,"Dec 12, 2021 - Mar 20, 2022",8.5,45222,"Black and White are twins with a powerful connection. After their parents' separation, though, White’s father took him abroad, and their family effectively severed in two. It isn’t until fifteen years have passed that White—now grown—returns to Thailand.

One day, seemingly from nowhere, White feels an agony like death. He recovers in the hospital, but they’re unable to determine the cause. Then he picks up a call from a childhood friend, Tod. Tod tells him that Black is in a coma following a vicious attack, and he learns that Black is in a motorcycle gang. Unable to endure the harm done to his brother in silence, and suspecting it was one of Black’s close friends—Sean, Gram, or Yok—who betrayed him, White disguises himself as Black to root out the traitor.

But White doesn’t know his brother as well as he thought; he’s not behaving like the Black Sean knows, distrustful and uncaring about the feelings of others. Sean's suspicious. The difference gets under Sean's skin and makes him feel things he shouldn’t.

(Source: adrien at MyDramaList)

~~ Adapted loosely from the novel ""NOT ME Dek Thoi Rak Jing"" (NOT ME เด็กถ่อยรักจริง) by ++saisioo++.  English 中文(台灣) 中文(简体) 日本語","Noolek Sureechay Kaewses, M Rittikrai Kanjanawiphu",Nuchy Anucha Boonyawatana,"Action, Thriller, Mystery, Romance",Thailand,14,Drama,AIS Play GMM 25,45 min.,#552,#195,13+ - Teens 13 or older
190,Love between Fairy and Devil ,"Aug  7, 2022 - Aug 29, 2022",8.7,39136,"According to legend, Dongfang Qing Cang of the Moon Tribe became an emotionless monster to gain immense power, killing his father, seizing the title of Moon Supreme, and leading 100,000 Moon Tribe soldiers on a path of destruction. To stop him, the first God of War of Shuiyuntian sacrificed her primordial spirit, sealing Dongfang Qing Cang's army and locking him in the Haotian Tower.

30,000 years later, a disturbance in the Haotian Matrix draws Orchid, a weak flower fairy, into the tower, where she encounters the Moon Supreme. Their meeting triggers a series of events that could once again threaten the world's fate.

(Source: MyDramaList)

~~ Adapted from the novel ""Cang Lan Jue"" (苍兰诀) by Jiu Lu Fei Xiang (九鹭非香).  English 한국어 中文(简体) Русский","Cao Xiao Tian, Bai Jin Jin","Yi Zheng, Qian Jing Wu","Comedy, Romance, Wuxia, Fantasy",China,36,Drama,iQiyi,45 min.,#201,#196,13+ - Teens 13 or older
